feature,importance
delta_from_minimum_recentcore_last_due365,0.04190064633930098
own_gap_error14,0.04185958679358188
own_linear_due3,0.04175342319568875
minimum3_core_phase_due60,0.04174241707457745
minimum1_core_phase_strength90,0.04171886588623894
rank_core_overdue_gap_med,0.041578698849689066
minimum2_amount_range,0.04135122356761956
minimum3_age5,0.041226595560773106
own_mcc_7997,0.04121046075282428
minimum1_core_gap3,0.040976750342470475
minimum1_recentcore_due_gap_med,0.04093842571153353
minimum1_core_amount_delta,0.04058368612861266
maximum_gap_error7,0.04042177176015942
maximum_recentcore_age,0.04035302092160881
maximum_recentcore_gap_max,0.0402138241957677
minimum3_core_age4,0.040191826085646434
own_gap_error90,0.0401263463380213
minimum1_age3,0.040098734758205495
delta_from_minimum_recentcore_gap_error14,0.04009363892381835
minimum3_core_amount_range,0.03995161186649537
delta_from_minimum_recentcore_gap_error7,0.03969905416220931
maximum_recentcore_age3,0.039648024172455366
delta_from_minimum_recentcore_phase_due60,0.03961401115463961
delta_from_minimum_recentcore_linear_due8,0.03932922576013064
maximum_recentcore_gap4,0.039237155068552215
maximum_gap_error30,0.03904922683414744
delta_from_minimum_core_cadence_missing,0.03903132871426388
minimum1_core_gap2,0.038611282686773905
own_recentcore_gap_std,0.03859503744136883
delta_from_minimum_core_n,0.038565088949446755
minimum2_recentcore_phase_due60,0.03851455539797298
minimum3_phase_due7,0.038490941882519614
maximum_gap2,0.03841599800731858
rank_phase_due30,0.03833558055240729
maximum_core_age5,0.038310258082513975
own_core_linear_error8,0.03827428817432801
minimum2_core_phase_due60,0.038180201750468136
delta_from_minimum_core_last_due60,0.038092717309250644
rank_recentcore_overdue_gap_med,0.037973252690088735
minimum2_core_gap4,0.03792754711529317
rank_recentcore_phase_strength365,0.03784320616895421
competitor2_cadence_due,0.03768890743759819
minimum2_recentcore_gap4,0.03747143038837126
delta_from_minimum_core_phase_due90,0.03746941259056183
minimum1_core_linear_due3,0.0374069276487592
delta_from_minimum_recentcore_cadence_missing,0.03740132303935954
minimum2_recentcore_age5,0.03729741061303879
minimum3_core_first_age,0.03719908149756399
delta_from_minimum_core_gap2,0.03694261670958042
delta_from_minimum_phase_due60,0.03693114122494853
rank_linear_due3,0.03692352774355133
minimum1_gap_error60,0.03664857628842037
minimum2_recentcore_phase_strength14,0.03661964250194378
own_linear_period5,0.03649291333510353
own_cadence_missing,0.03645033152320865
own_overdue_gap_recent,0.03625237520439063
family_mobile,0.03619950018173741
delta_from_minimum_recentcore_gap_max,0.03614480640995576
minimum3_gap_std,0.03612617984857322
delta_from_minimum_gap_error60,0.03594640285463932
own_recentcore_cadence_missing,0.03585621345190043
maximum_recentcore_cadence_active_due,0.035621465023751776
maximum_core_gap2,0.03560648291484943
own_n180,0.035579568174872324
own_core_linear_period8,0.035546157236321464
minimum3_phase_due365,0.03554325446618681
minimum1_phase_due60,0.03537605240716045
minimum1_recentcore_phase_strength60,0.03531650566237927
minimum2_recentcore_phase_due7,0.03528077284553907
minimum1_recentcore_linear_error3,0.035061400898900384
competitor1_age,0.035060351038334374
minimum2_phase_strength365,0.03504552805725681
maximum_active_n_1.5,0.03499786075643215
global_n_refunds,0.03499249686291313
rank_core_cadence_missing,0.03497965198631914
delta_from_minimum_recentcore_active_due_1.5,0.03493567770753181
delta_from_minimum_n90,0.034901483005974086
minimum1_cadence_due,0.03483032308766212
rank_recentcore_active_due_1.2,0.03481149645017835
maximum_active_due_1.5,0.03477991993349637
maximum_age3,0.03468578744242505
delta_from_minimum_gap2,0.03467001716649314
maximum_recentcore_active_n_1.2,0.0346350958621051
maximum_recentcore_phase_due60,0.03453796524258142
delta_from_minimum_linear_period8,0.03440840577876837
maximum_core_phase_due7,0.034332111737779
own_recentcore_gap2,0.03427231399571781
own_core_gap_error30,0.034131886031107415
own_n30,0.033952291608660694
minimum3_recentcore_phase_due90,0.03394070432032058
minimum2_recentcore_cadence_missing_fraction,0.03394062134554647
own_amount_last,0.03389617831715927
delta_from_minimum_cadence_missing,0.033721987946714965
own_recentcore_amount_slope,0.03362427999112949
own_core_n180,0.03352021264843793
delta_from_minimum_core_last_due14,0.03347157132400157
minimum1_phase_strength365,0.033434378725109605
minimum3_amount_mad,0.033349412900370135
own_due_gap_med,0.033223302415028876
maximum_recentcore_age2,0.03316137124100186
delta_from_minimum_core_linear_due3,0.03314041428117697
delta_from_minimum_recentcore_linear_error8,0.03304452750231755
maximum_recentcore_cadence_error,0.03285776393011176
maximum_gap_min,0.03258937483669726
minimum2_recentcore_phase_due90,0.032541161917494454
minimum2_cadence_due,0.032421119417648386
delta_from_minimum_linear_error8,0.032134033259069376
minimum1_linear_error3,0.03202240738051047
rank_recentcore_age,0.03185383358067305
delta_from_minimum_core_amount_mean,0.031754932932078705
delta_from_minimum_core_linear_error8,0.03172366075874623
minimum3_first_age,0.03172099306722916
maximum_span,0.03160127477885404
minimum1_gap_std,0.03156128716312781
own_phase_strength7,0.03139639903186922
minimum3_recentcore_amount_mean,0.03138074640338722
delta_from_minimum_gap_min,0.031312133058123914
delta_from_minimum_core_linear_due8,0.03123614423562745
minimum2_amount_cv,0.031228463759498868
maximum_amount_last_delta,0.031204621376792755
own_recentcore_linear_due8,0.031164571077006705
own_recentcore_gap_error7,0.031101263242462436
delta_from_minimum_core_phase_due60,0.031078831416171817
minimum2_core_span,0.031030504895093687
delta_from_minimum_phase_due90,0.03098177223093957
delta_from_minimum_core_amount_range,0.030941698385356077
minimum3_core_last_due30,0.03082861137546637
rank_n15,0.0307868605183848
own_cadence_active_due,0.030769453342330746
rank_recentcore_due_gap_mean,0.03075506755110823
own_recentcore_cadence_due,0.03072899708428935
minimum2_recentcore_phase_due14,0.030716459604408806
maximum_recentcore_overdue_gap_recent,0.03064445061119881
own_gap_last,0.030609282004081164
minimum3_linear_error8,0.030511329702375897
maximum_recentcore_first_age,0.030507438284285694
rank_text_confidence,0.030441094832661685
own_cadence_last_due,0.03036540816864019
minimum2_amount_mean,0.030333938473312807
rank_recentcore_phase_due14,0.030296301742273005
delta_from_minimum_recentcore_active_n_2.0,0.030217899984901146
delta_from_minimum_recentcore_amount_slope,0.030199202890540344
rank_recentcore_last_due60,0.03015840763128358
delta_from_minimum_phase_due30,0.030101603172920377
delta_from_minimum_core_gap4,0.030084973881041574
maximum_mcc_6300,0.02996115594331724
own_core_gap_error7,0.029960367819953215
minimum2_recentcore_linear_error3,0.02978952879373166
own_core_amount_delta,0.029698331607698816
minimum1_amount_last_delta,0.02968527877813049
rank_recentcore_gap1,0.029676795382995308
minimum1_recentcore_amount_range,0.029631573941108328
minimum3_amount_med,0.02942353018283285
maximum_core_linear_period8,0.0294100779244987
own_recentcore_cadence_missing_fraction,0.02929380688058822
maximum_recentcore_active_due_1.5,0.02928536989800514
own_gap3,0.02908776664271469
rank_phase_due7,0.029085201083639507
minimum2_amount_mad,0.029083180843138885
maximum_text_confidence,0.029040709144882864
own_recentcore_active_due_1.5,0.028964646520849027
minimum1_cadence_slope,0.02881604462130038
minimum3_recentcore_gap3,0.02877470047977389
minimum2_amount_last,0.028719278767205685
global_assigned_fraction,0.028654377865632
delta_from_minimum_recentcore_linear_period3,0.028603216247335642
minimum1_phase_due30,0.028530775163103282
minimum3_recentcore_gap_error7,0.028487630982053914
minimum2_core_gap_error365,0.028453501139162857
delta_from_minimum_gap_max,0.02821427608537538
competitor2_core_active_due_1.5,0.028114666812849857
minimum2_recentcore_last_due30,0.028035250272255362
own_phase_strength30,0.027983048687606107
maximum_core_amount_delta,0.02788973463574089
minimum3_core_phase_due30,0.027765755014506652
own_recentcore_gap_last,0.027752347035499125
minimum2_gap3,0.02769354047861058
minimum2_recentcore_amount_med,0.027624160075088597
maximum_recentcore_linear_error3,0.02761578421412336
rank_recentcore_age4,0.027555153279961032
minimum1_recentcore_amount_delta,0.02747753392602929
own_core_overdue_gap_mean,0.027470934510502698
delta_from_minimum_recentcore_last_due90,0.027368065801772676
maximum_phase_due60,0.027312091173013933
